Word,Input,Phon_numb,unsDENS,unsBPAV,unsTPAV,unsPOSPAV,unsLCPOSPAV
bread,B.R.EH.D,4,21,0.0026872,0.0001549,0.0542249,0.0666726
brother,B.R.AH.DH.ER,5,3,0.0031119,8.06E-05,0.048371,0.0595027
brown bear,B.R.AW.N.B.EH.R,7,0,0.001713,7.69E-05,0.0371755,0.0366071
brr,B.AA.R,3,44,0.003157,0.0002162,0.0651448,0.0572632
bubble,B.AH.B.AH.L,5,14,0.0076984,0.0008261,0.0703845,0.0745664
buddy,B.AH.D.IY,4,20,0.0035967,6.21E-05,0.0547792,0.0719549
bug,B.AH.G,3,33,0.0030328,3.92E-05,0.0524698,0.0540351
bunny,B.AH.N.IY,4,27,0.0111616,0.0002179,0.0677889,0.0855824
bus,B.AH.S,3,39,0.006854,0.0001055,0.0729138,0.0666667
buttons,B.AH.T.AH.N.Z,6,2,0.0103686,0.0007439,0.0754924,0.0961573
buzz,B.AH.Z,3,34,0.0032703,3.23E-05,0.0537102,0.0693333
bye,B.AY,2,39,0.0005712,0,0.0461586,0.0513245
candy,K.AE.N.D.IY,5,17,0.0047898,0.0004273,0.06621,0.0687447
car,K.AA.R,3,38,0.0042605,0.0003524,0.0760016,0.0544561
cat,K.AE.T,3,45,0.0021341,0.0001719,0.0733279,0.0742456
catch,K.AE.CH,3,26,0.0013503,1.70E-05,0.0555595,0.0557193
cereal,S.IH.R.IY.AH.L,6,4,0.0078443,0.0003209,0.0839509,0.0917403
cheers,CH.IH.R.Z,4,18,0.0029076,5.45E-05,0.052564,0.0745295
cheese,CH.IY.Z,3,27,0.0017197,2.04E-05,0.0272757,0.056
chicken,CH.IH.K.AH.N,5,4,0.010988,0.0007348,0.0729212,0.0742268
chocolate,CH.AO.K.L.AH.T,6,1,0.0034972,0.000174,0.0568989,0.0681645
choo,CH.UW,2,33,0.0003477,0,0.0158621,0.0480132
choo choo,CH.UW.CH.UW,4,0,0.0002504,9.00E-07,0.0126007,0.0197532
clock,K.L.AA.K,4,19,0.0018563,8.26E-05,0.0497669,0.0486506
coke,K.OW.K,3,38,0.0011051,2.38E-05,0.0589121,0.0630175
come,K.AH.M,3,37,0.0073942,0.0007047,0.0728797,0.0578246
cook,K.UH.K,3,24,0.0002732,3.23E-05,0.0519264,0.0478597
cookie,K.UH.K.IY,4,14,0.0005039,2.21E-05,0.0493938,0.0681818
cow,K.AW,2,32,0.0006674,0,0.0510258,0.0430464
cracker,K.R.AE.K.ER,5,9,0.0031857,0.000223,0.0607742,0.0674591
crash,K.R.AE.SH,4,13,0.0027224,0.000149,0.0544794,0.0454545
crib,K.R.IH.B,4,9,0.004113,0.0002298,0.0582477,0.0519354
cup,K.AH.P,3,26,0.0055037,0.0001464,0.0697689,0.0562807
dab,D.AE.B,3,27,0.0007264,1.36E-05,0.0518168,0.0565614
dada,D.AA.D.AA,4,1,0.0007874,3.40E-06,0.0448477,0.0393732
daddy,D.AE.D.IY,4,12,0.0012738,1.96E-05,0.0526919,0.0672053
daisy,D.EY.Z.IY,4,10,0.0007036,3.49E-05,0.0388921,0.0590376
day,D.EY,2,40,0.000714,0,0.0456834,0.0513245
dessert,D.IH.Z.ER.T,5,4,0.0034984,6.24E-05,0.0640883,0.0684294
diaper,D.AY.P.ER,4,13,0.0014703,3.07E-05,0.049357,0.0674716
dinner,D.IH.N.ER,4,23,0.0111254,0.0004383,0.0796931,0.0883789
dirty,D.ER.T.IY,4,9,0.0025423,3.58E-05,0.0497675,0.0666282
doctor,D.AA.K.T.ER,5,7,0.0032237,0.0001572,0.0627956,0.0643784
dog,D.AO.G,3,19,0.0003523,3.92E-05,0.0382396,0.0453333
doughnut,D.OW.N.AH.T,4,3,0.0040261,0.0001736,0.075577,0.0801455
down,D.AW.N,3,28,0.0010601,0.0001294,0.0550243,0.0547368
drink,D.R.IH.NG.K,5,8,0.0068129,0.0004431,0.0455061,0.0403153
duck,D.AH.K,3,41,0.0040479,0.0003081,0.0665523,0.0651228
eat,IY.T,2,29,0.0016794,0,0.0159496,0.0264901
egg,EH.G,2,27,0.0005246,0,0.0138557,0.0298013
elephant,EH.L.AH.F.AH.N.T,7,3,0.0085908,0.0006802,0.060338,0.0648985
fig,F.IH.G,3,23,0.0017306,4.26E-05,0.0558281,0.0529123
fish,F.IH.SH,3,18,0.002055,0.000143,0.0526134,0.0509474
flower,F.L.AW.ER,4,7,0.0007316,4.09E-05,0.0396583,0.0625444
food,F.UW.D,3,23,0.0004811,1.19E-05,0.0358329,0.0569825
game,G.EY.M,3,22,0.0006115,1.70E-05,0.0346506,0.0516491
garbage,G.AA.R.B.IH.JH,6,0,0.0020494,0.0001017,0.0445208,0.0688007
gee,JH.IY,2,36,0.0006767,0,0.0322088,0.0463576
gimme,G.IH.M.IY,4,6,0.0015976,2.04E-05,0.0550941,0.0703125
giraffe,JH.ER.AE.F,4,1,0.0005629,3.40E-06,0.0229292,0.0228161
go,G.OW,2,45,0.0005836,0,0.0291951,0.0496689
go dog,G.OW.D.AO.G,5,0,0.0005347,1.70E-05,0.0231443,0.0261734
goal,G.OW.L,3,36,0.0011486,5.79E-05,0.0423493,0.058386
god,G.AA.D,3,27,0.0007388,2.89E-05,0.0428653,0.0593684
good,G.UH.D,3,15,0.0002251,3.06E-05,0.0253429,0.0429474
grandma,G.R.AE.M.AA,5,7,0.0026013,0.0002139,0.0377162,0.0360218
grandpa,G.R.AE.N.D.P.AA,7,2,0.0039035,0.0004109,0.0360505,0.0352766
gravy,G.R.EY.V.IY,5,7,0.0020224,0.0001157,0.0363887,0.0471801
grr,G.AA.R,3,29,0.0029319,0.0001566,0.055211,0.0495439
haha,HH.AH.HH.AH,4,0,0.0004563,0,0.0620159,0.0400835
happy,HH.AE.P.IY,4,7,0.0012293,3.24E-05,0.0465187,0.0679155
hat,HH.AE.T,3,49,0.0015474,1.02E-05,0.0560874,0.0728421
hear,HH.IY.R,3,22,0.000388,2.72E-05,0.0551068,0.0548772
hello,HH.AH.L.OW,4,7,0.0066492,6.04E-05,0.0511385,0.0605025
help,HH.EH.L.P,4,13,0.0013162,5.45E-05,0.053899,0.0574396
here,HH.IY.R,3,22,0.000388,2.72E-05,0.0551068,0.0548772
hey,HH.EY,2,39,0.0002949,0,0.0336293,0.0529801
hi,HH.AY,2,44,0.0006364,0,0.036583,0.0562914
home,HH.OW.M,3,30,0.0007015,8.68E-05,0.0387947,0.0541754
horse,HH.AO.R.S,4,18,0.0033794,0.0002179,0.0505613,0.0636985
hot,HH.AA.T,3,39,0.001029,2.55E-05,0.0542151,0.0661053
house,HH.AW.S,3,15,0.0003508,0.0001328,0.0434488,0.0487018
hug,HH.AH.G,3,32,0.0011703,1.02E-05,0.0460861,0.0498246
hungry,HH.AH.NG.G.R.IY,6,2,0.0030353,6.42E-05,0.0374473,0.0387901
it,IH.T,2,34,0.0042589,0,0.0412682,0.0331126
ivy,AY.V.IY,3,6,0.0006022,1.70E-06,0.011798,0.0140351
jet,JH.EH.T,3,27,0.0014512,2.89E-05,0.0486712,0.0572632
juice,JH.UW.S,3,23,0.0006705,8.50E-06,0.0389121,0.050807
key,K.IY,2,46,0.0009654,0,0.0707046,0.0529801
kiss,K.IH.S,3,32,0.0058452,5.96E-05,0.0912083,0.0703158
kissy,K.IH.S.IY,4,10,0.0047225,6.81E-05,0.0788553,0.0785245
kitty,K.IH.T.IY,4,14,0.0032791,0.0002732,0.0743498,0.0833185
lady,L.EY.D.IY,4,9,0.0019732,8.60E-05,0.0348551,0.0634322
lake,L.EY.K,3,38,0.0017911,2.89E-05,0.0383344,0.0631579
lamp,L.AE.M.P,4,14,0.0025879,0.0001975,0.0457576,0.0454545
lid,L.IH.D,3,35,0.0060485,4.09E-05,0.0574177,0.0708772
light,L.AY.T,3,39,0.0020984,0.0001668,0.0423103,0.0651228
lion,L.AY.AH.N,4,14,0.0101859,9.96E-05,0.0387988,0.0440785
look,L.UH.K,3,23,0.0002949,2.72E-05,0.0319427,0.0470175
love,L.AH.V,3,22,0.0040153,9.36E-05,0.0451677,0.0492632
love you,L.AH.V.Y.UW,5,0,0.0028985,5.67E-05,0.0316392,0.0285749
lovey,L.AH.V.IY,4,10,0.0028993,5.19E-05,0.0443248,0.0625888
mama,M.AA.M.AH,4,13,0.0032201,0.0001438,0.0716559,0.0517134
mamas,M.AA.M.AH.Z,5,7,0.0029684,0.0001237,0.0653118,0.093584
man man,M.AE.N.M.AE.N,6,1,0.0038163,0.0002089,0.0552593,0.0573127
map,M.AE.P,3,32,0.0016825,6.80E-06,0.0529017,0.0604912
me,M.IY,2,47,0.001102,0,0.052057,0.0529801
meow,M.IY.AW,3,11,0.0005525,1.70E-06,0.0361659,0.0429474
milk,M.IH.L.K,4,17,0.0025475,0.0001056,0.066988,0.0646307
mine,M.AY.N,3,39,0.0012619,8.68E-05,0.059409,0.0645614
mommy,M.AA.M.IY,4,15,0.001399,2.38E-05,0.0510541,0.0685813
monkey,M.AH.NG.K.IY,5,10,0.0024655,9.48E-05,0.0453794,0.0496301
moo,M.UW,2,38,0.000208,0,0.0382082,0.0513245
moon,M.UW.N,3,31,0.0005945,2.72E-05,0.0556837,0.0635789
moose,M.UW.S,3,25,0.0005913,3.40E-06,0.0521443,0.058807
more,M.AO.R,3,39,0.0037514,0.0002213,0.0539951,0.0481404
more water,M.AO.R..W.AO.T.ER,7,0,0.0026505,9.36E-05,0.0426994,0.044923
mouse,M.AW.S,3,22,0.000267,8.50E-06,0.0482576,0.0485614
nana,N.AE.N.AH,4,13,0.0049284,0.0002315,0.0756338,0.0569514
net,N.EH.T,3,32,0.001504,9.36E-05,0.0509046,0.0590877
night,N.AY.T,3,27,0.0012246,0.0001089,0.0388635,0.0582456
no,N.OW,2,42,0.0008909,0,0.0252352,0.0480132
no this,N.OW.DH.IH.S,5,2,0.0027309,1.10E-06,0.0359991,0.0648636
nose,N.OW.Z,3,39,0.0010415,4.26E-05,0.0242919,0.0565614
num num,N.UH.M.N.UH.M,6,0,0.000108,9.00E-07,0.0258613,0.0245756
oh no,OW.N.OW,3,10,0.0011408,6.80E-06,0.0291323,0.0148772
oh wow,OW.W.AW,3,1,2.95E-05,0,0.0088982,0.0070175
okay,OW.K.EY,3,8,0.0013426,6.13E-05,0.0177328,0.0106667
open close,OW.P.AH.N.K.L.OW.S,8,0,0.0052944,0.0001183,0.0362505,0.0452632
ouch,AW.CH,2,13,9.00E-05,0,0.0022754,0.0165563
outside,AW.T.S.AY.D,5,4,0.0026549,0.0001226,0.0322298,0.0425713
over there,OW.V.ER.DH.EH.R,6,0,0.0017353,0.0001366,0.0169034,0.0124877
owl,AW.L,2,21,0.0001149,0,0.0249855,0.0264901
pacifier,P.AE.S.AH.F.AY.ER,7,3,0.0024921,0.0001961,0.0581806,0.0644958
pan,P.AE.N,3,45,0.0043365,0.0002111,0.0771492,0.0729825
park,P.AA.R.K,4,22,0.0029645,0.0003558,0.0634524,0.0573509
peek,P.IY.K,3,34,0.0013922,5.45E-05,0.0600692,0.0647018
pickle,P.IH.K.AH.L,5,13,0.0089788,0.0006939,0.084106,0.0827653
picture,P.IH.K.CH.ER,5,8,0.0027821,8.62E-05,0.058561,0.0643299
pink,P.IH.NG.K,4,21,0.0065157,0.000326,0.0580583,0.0480291
pizza,P.IY.T.S.AH,5,3,0.0039167,4.82E-05,0.0717839,0.0489751
plane,P.L.EY.N,4,18,0.0023799,0.0001957,0.0457927,0.0458984
platypus,P.L.AE.T.AH.P.UH.S,8,0,0.0026363,0.0001166,0.0539081,0.0644173
play,P.L.EY,3,22,0.0026168,0.0002979,0.0450957,0.0315789
please,P.L.IY.Z,4,16,0.0042786,0.0001072,0.0409994,0.0701349
poop,P.UW.P,3,24,0.0004501,8.50E-06,0.044849,0.0513684
pop,P.AA.P,3,41,0.0014621,6.64E-05,0.0577358,0.0538947
pot,P.AA.T,3,43,0.0014248,6.98E-05,0.0657303,0.0661053
potato,P.AH.T.EY.T.OW,6,1,0.0039107,0.0001953,0.0522183,0.0469517
princess,P.R.IH.N.S.EH.S,7,0,0.0084087,0.0005022,0.0558202,0.0636029
puppy,P.AH.P.IY,4,11,0.0022764,7.23E-05,0.0584817,0.0692028
purple,P.ER.P.AH.L,5,4,0.0060167,0.0001668,0.0663701,0.0675804
quack,K.W.AE.K,4,9,0.0018842,3.41E-05,0.0444757,0.0387962
quack quack,K.W.AE.K.K.W.AE.K,8,0,0.0016173,2.27E-05,0.0319572,0.0333459
rice,R.AY.S,3,30,0.0012851,4.60E-05,0.0598715,0.0600702
ride,R.AY.D,3,44,0.0017973,8.68E-05,0.0460646,0.0614737
rock,R.AA.K,3,43,0.0017508,0.0001175,0.061019,0.0630175
ruff ruff,R.AH.F.R.AH.F,6,0,0.0051604,0.0002009,0.0568885,0.0619297
same,S.EY.M,3,24,0.0005557,5.10E-06,0.0603145,0.0579649
sand,S.AE.N.D,4,26,0.0051995,0.000532,0.0771434,0.0886896
sausage,S.AO.S.AH.JH,5,2,0.0022529,2.15E-05,0.069998,0.0759248
shoe,SH.UW,2,33,0.0001738,0,0.0171788,0.0463576
side,S.AY.D,3,39,0.0015769,0.0002179,0.0593677,0.0641404
sister,S.IH.S.T.ER,5,8,0.0090402,0.000812,0.0842979,0.0868405
sit,S.IH.T,3,47,0.0048534,0.0001787,0.0900744,0.0763509
sit down,S.IH.T.D.AW.N,6,0,0.0023797,7.96E-05,0.0659261,0.0680736
sky,S.K.AY,3,9,0.0019184,3.57E-05,0.0485312,0.026386
sock,S.AA.K,3,41,0.0010942,2.21E-05,0.0743221,0.0656842
some,S.AH.M,3,37,0.0063869,0.0002724,0.077753,0.0592281
spaceship,S.P.EY.S.SH.IH.P,7,1,0.0020312,7.63E-05,0.0418968,0.0614846
spoon,S.P.UW.N,4,16,0.0016111,2.89E-05,0.0465689,0.0431463
star,S.T.AA.R,4,18,0.0069141,0.0001966,0.0487782,0.0385298
stop,S.T.AA.P,4,16,0.0055741,0.0001532,0.0471644,0.0405273
sunny,S.AH.N.IY,4,14,0.0118062,0.0004264,0.0795865,0.0920632
swing,S.W.IH.NG,4,21,0.0063387,0.0001685,0.0403059,0.0475408
taco,T.AA.K.OW,4,5,0.001341,5.02E-05,0.0437838,0.0561523
teepee,T.IY.P.IY,4,6,0.0020529,2.13E-05,0.0429208,0.0666726
thank you,TH.AE.NG.K.Y.UW,6,0,0.001513,0.0001609,0.0240401,0.023085
that,DH.AE.T,3,18,0.0010399,1.70E-06,0.0432361,0.0567018
there,DH.EH.R,3,19,0.0023049,1.87E-05,0.0487893,0.0362105
think,TH.IH.NG.K,4,19,0.0058928,0.0001907,0.0410276,0.0348899
this,DH.IH.S,3,11,0.0050009,1.70E-06,0.0611165,0.0527719
tickle,T.IH.K.AH.L,5,14,0.0112053,0.0009408,0.0776345,0.0782535
tiger,T.AY.G.ER,4,7,0.0006695,6.00E-06,0.0390452,0.06432
to,T.UW,2,40,0.0008102,0,0.0320892,0.0513245
touch,T.AH.CH,3,15,0.0041394,2.72E-05,0.0434839,0.0478597
toy,T.OY,2,26,6.21E-05,0,0.0227049,0.0380795
tractor,T.R.AE.K.T.ER,6,4,0.0048872,0.0004302,0.0508286,0.0507507
train,T.R.EY.N,4,21,0.0040975,0.0003243,0.0481238,0.0480735
tree,T.R.IY,3,23,0.0083332,0.0003932,0.0501067,0.0381754
truck,T.R.AH.K,4,12,0.0066233,0.000566,0.0536051,0.0517134
turtle,T.ER.T.AH.L,5,9,0.0084356,0.0003076,0.0646954,0.0699818
tv,T.IY.V.IY,4,5,0.001877,2.98E-05,0.0394577,0.0624556
uncle,AH.NG.K.AH.L,5,3,0.0071055,0.0005067,0.0580988,0.0566889
up,AH.P,2,18,0.0027317,0,0.0313624,0.0198676
vacuum,V.AE.K.Y.UW.M,6,1,0.0019432,0.0001502,0.0313337,0.031592
vroom,V.R.UW.M,4,3,0.0009478,6.47E-05,0.0365392,0.0312056
want,W.AA.N.T,4,17,0.0050257,0.0002119,0.0638389,0.0739524
water,W.AO.T.ER,4,12,0.0027037,0.0001038,0.0447994,0.0677379
what,W.AH.T,3,27,0.0045492,9.36E-05,0.0549009,0.0625965
what's that,W.AH.T.S.DH.AE.T,7,0,0.0029205,9.26E-05,0.04769,0.0468487
whoa,W.OW,2,34,0.0001118,0,0.0260872,0.0496689
woof,W.UW.F,3,13,0.0001381,1.70E-06,0.0225683,0.0414035
woof woof,W.UW.F.W.UW.F,6,0,0.0001136,9.00E-07,0.0164505,0.0171956
wow,W.AW,2,25,3.73E-05,0,0.016732,0.0397351
yeah,Y.AE,2,16,0.0005743,0,0.0370713,0.0215232
yellow,Y.EH.L.OW,4,13,0.0015397,3.58E-05,0.040536,0.0511364
yes,Y.EH.S,3,19,0.0021248,3.23E-05,0.0523935,0.0481404
yogurt,Y.OW.G.ER.T,5,0,0.0007613,7.90E-06,0.0375281,0.0473257
you,Y.UW,2,46,0.0033649,0,0.0149326,0.0513245
yuck,Y.AH.K,3,21,0.0052119,2.21E-05,0.0478078,0.0512281
yum,Y.AH.M,3,21,0.0065933,0.0002519,0.0449309,0.0437895
yum yum,Y.AH.M.Y.AH.M,6,0,0.0053976,0.0001698,0.048478,0.0519322
zebra,Z.IY.B.R.AH,5,2,0.0031593,5.96E-05,0.0480316,0.0276774
