date,number_kids,guardian_ed,birth_order,gender,word_original,word_standard,cdi_cat,word_validation,subject,addressee,age,age_current,lang,home_lang
10/3/14,3,Some college,1,Male,Baba,Baba,People,Dada,Person,Father,9,7,Urdu,English
10/5/14,3,College,3,Male,Baba,Baba,People,Mama,Person,Big brother,4,12,English,English
10/7/14,1,College,1,Male,Baba,Baba,People,Dada,Person,father,5,3,English,English
10/9/14,2,College,1,Male,Baba,Baba,People,Dada,Person,his dad,8,18,English,English
10/12/14,2,Graduate degree,2,Female,Baba,Baba,People,Dada,Person,Her dad,4,18,English,English
10/12/14,2,College,2,Male,Baba,Baba,People,Dada,Person,his Dad,8,4,English,English
10/13/14,2,College,1,Male,Baba,Baba,People,Dada,Person,dad,12,4,English,English
10/14/14,3,Some college,2,Female,Baba,Baba,People,Mama,Person,mother,7,15,English,English
9/22/14,1,High school,1,Female,Baba,Baba,Toys,Check,Toy,Me,9,7,English,English
10/13/14,3,Some college,3,Male,Baba,Baba,Toys,Dada,Toy,No one,11,12,English,English
9/30/14,2,College,2,Male,Baboom,Baboom,Sound Effects,Check,Games or Routines,no,7,1,Hindi,English
9/22/14,2,College,1,Female,Baby,Baby,People,Mama,Toy,a doll,10,7,English,English
9/23/14,2,Graduate degree,1,Female,Baby,Baby,People,Check,Other object,mom and dad,15,5,English,English
9/23/14,3,Some college,2,Male,Baby,Baby,People,Mama,Person,himself,12,1,English,English
9/23/14,2,Some college,2,Male,Baby,Baby,People,Dada,Toy,mother,15,1,English,English
9/24/14,2,Some college,2,Female,Baby,Baby,People,Check,Toy,no one,14,2,English,English
9/27/14,2,Graduate degree,1,Female,Baby,Baby,People,Dada,Toy,No one ,10,2,English,English
9/30/14,1,Graduate degree,1,Female,Baby,Baby,People,Check,Other object,Mother,8,1,English,English
9/22/14,2,Some college,1,Male,Baby,Baby,People,Dada,Person,Baby on the street,9,6,English,English
10/3/14,3,College,2,Female,Baby,Baby,People,Check,Toy,her baby doll,10,9,English,English
10/4/14,4,College,3,Female,Baby,Baby,People,Dada,Person,younger sibling,13,6,English,English
10/5/14,4,College,4,Male,Baby,Baby,People,Mama,Toy,no one,12,3,English,English
10/5/14,1,High school,1,Male,Baby,Baby,People,Mama,Person,Mother,14,2,English,English
10/12/14,2,College,2,Female,Baby,Baby,People,Dada,Toy,toy,10,4,English,English
10/12/14,1,High school,1,Female,Baby,Baby,People,Check,Toy,myself (mother),14,6,English,English
10/13/14,8,College,5,Female,Baby,Baby,People,Mama,Person,mom,12,8,English,English
10/5/14,2,High school,2,Male,Bad Dog,Bad Dog,Phrase,Check,Animal,Pet dog,10,1,English,English
10/2/14,1,Some college,1,Male,Badger,Badger,Animals,Mama,Animal,Our cat,10,1,English,English
10/5/14,1,College,1,Male,Bah,Bah,Sound Effects,Check,Animal,dog,2,3,English,English
10/13/14,2,Graduate degree,1,Male,Bah,Bah,Sound Effects,Check,Other object,N/A,6,8,English,English
9/22/14,3,Some college,1,Female,Ball,Ball,Toys,Check,Toy,n/a,9,11,English,English
9/22/14,1,Some college,1,Male,Ball,Ball,Toys,Dada,Toy,parents,14,5,English,English
9/22/14,4,High school,3,Male,Ball,Ball,Toys,Dada,Games or Routines,mommy,7,18,English,English
9/22/14,2,Some college,1,Male,Baw,Ball,Toys,Dada,Toy,ball,10,4,English,English
9/23/14,2,College,1,Male,Ball,Ball,Toys,Mama,Toy,mom and dad,16,18,English,English
9/23/14,1,Some high school,1,Female,Ball,Ball,Toys,Check,Toy,none,6,3,English,English
9/23/14,3,Some college,1,Male,Ball,Ball,Toys,Dada,Toy,no one,13,7,English,English
9/23/14,1,Graduate degree,1,Female,Ball,Ball,Toys,Dada,Toy,her daddy,9,5,English,English
9/23/14,2,Some college,1,Male,Ball,Ball,Toys,Mama,Toy,no one,10,4,English,English
9/23/14,2,College,2,Male,Ball,Ball,Toys,Check,Toy,mother,13,3,English,English
9/23/14,2,Graduate degree,2,Male,Baa,Ball,Toys,Mama,Toy,father,11,1,English,English
9/23/14,2,High school,1,Male,Ball,Ball,Toys,Check,Toy,noone,6,12,English,English
9/24/14,1,College,1,Female,Ball,Ball,Toys,Mama,Person,Mom,12,2,English,English
9/24/14,5,High school,1,Male,Ball,Ball,Toys,Mama,Toy,no,10,18,English,English
9/24/14,1,Some college,1,Male,Ball,Ball,Toys,Mama,Toy,mom,11,3,English,English
9/24/14,1,Some college,1,Male,Ball,Ball,Toys,Mama,Toy,myself,12,2,English,English
9/24/14,1,College,1,Female,Babawball,Ball,Toys,Dada,Toy,father,12,1,English,English
9/24/14,1,Some college,1,Male,Ball,Ball,Toys,Mama,Toy,father,10,3,English,English
9/24/14,1,High school,1,Female,Ball,Ball,Toys,Mama,Games or Routines,Mom,NA,7,English,English
9/24/14,1,College,1,Female,Ball,Ball,Toys,Dada,Toy,To her father,10,2,English,English
9/24/14,2,Some college,1,Female,Ball,Ball,Toys,Mama,Toy,Mom,7,8,English,English
9/24/14,1,Graduate degree,1,Male,Ball,Ball,Toys,Check,Toy,Mom,10,4,English,English
9/24/14,2,College,1,Female,Ball,Ball,Toys,Dada,Toy,Mother,15,5,English,English
9/24/14,2,Some college,1,Female,Ball,Ball,Toys,Dada,Person,Father,14,9,English,English
9/24/14,1,Some college,1,Female,Ball,Ball,Toys,Check,Toy,Myself (mother),11,8,English,English
9/24/14,1,College,1,Male,Ball,Ball,Toys,Dada,Toy,no one,8,0,English,English
9/24/14,2,College,2,Female,Ball,Ball,Toys,Check,Other object,me,24,11,English,English
9/26/14,1,Some college,1,Male,Ball,Ball,Toys,Mama,Person,me,6,12,English,English
9/28/14,3,College,3,Male,Ball,Ball,Toys,Dada,Toy,Everyone,11,1,English,English
9/29/14,5,High school,5,Male,Ball,Ball,Toys,Check,Toy,No one in general ,15,3,English,English
9/29/14,3,Graduate degree,1,Female,Ball,Ball,Toys,Dada,Toy,none,6,5,English,English
9/29/14,1,Some graduate school,1,Female,Ball,Ball,Toys,Mama,Toy,mom was holding the baby,12,3,English,English
9/30/14,3,High school,3,Male,Ball,Ball,Toys,Check,Toy,his first toy,14,2,English,English
9/30/14,2,College,1,Male,Ball,Ball,Toys,Check,Toy,father,10,3,English,English
9/30/14,2,Some college,1,Male,Ball,Ball,Toys,Dada,Toy,mom,7,5,English,English
9/30/14,4,Some college,4,Female,Baw,Ball,Toys,Dada,Toy,To the ball itself.,8,16,English,English
9/30/14,1,College,1,Female,Ball,Ball,Toys,Mama,Person,mom,4,13,English,English
9/30/14,2,College,2,Male,Ball,Ball,Toys,Check,Toy,Mom,5,16,English,English
9/30/14,1,College,1,Male,Ball,Ball,Toys,Dada,Toy,Everyone,10,1,English,English
9/30/14,3,Some college,2,Male,Ball,Ball,Toys,Check,Toy,nobody,11,11,English,English
9/30/14,3,Some college,3,Male,Ball,Ball,Toys,Mama,Toy,nobody,12,9,English,English
10/1/14,1,College,1,Female,Ball,Ball,Toys,Check,Toy,no one in particular,14,12,English,English
10/1/14,2,Some college,2,Female,Baaa,Ball,Toys,Check,Toy,Dad,9,1,English,English
10/1/14,3,Graduate degree,1,Male,Ball,Ball,Toys,Check,Toy,everything...and any ball,9,7,English,English
10/1/14,2,High school,1,Male,Ball,Ball,Toys,Mama,Toy,Dad,18,18,English,English
10/1/14,1,High school,1,Female,Ball,Ball,Toys,Dada,Toy,Toy ball,14,3,English,English
10/3/14,2,Graduate degree,1,Male,Ball,Ball,Toys,Check,Toy,Mom,11,12,English,English
10/3/14,1,Some college,1,Female,Ball,Ball,Toys,Dada,Toy,the dog,8,3,English,English
10/4/14,1,Some college,1,Male,Ball,Ball,Toys,Mama,Toy,mommy,9,3,English,English
10/4/14,2,High school,1,Female,Ball,Ball,Toys,Mama,Toy,None,15,4,English,English
10/4/14,1,Some graduate school,1,Male,Ball,Ball,Toys,Dada,Toy,no one,11,2,English,English
10/4/14,2,Graduate degree,1,Male,Ball,Ball,Toys,Mama,Toy,Dad,8,3,English,English
10/4/14,4,College,4,Male,Ball,Ball,Toys,Dada,Toy,family,18,5,English,English
10/5/14,2,High school,2,Male,Ball,Ball,Toys,Check,Toy,mom and dad,6,18,English,English
10/5/14,4,Some graduate school,3,Female,Baba,Ball,Toys,Mama,Toy,me,18,4,English,English
10/5/14,1,College,1,Male,Ball,Ball,Toys,Mama,Toy,mother,10,2,English,English
10/5/14,2,College,2,Male,Ball,Ball,Toys,Check,Toy,dad,15,4,English,English
10/5/14,3,College,2,Female,Ball,Ball,Toys,Check,Toy,The ball,11,7,English,English
10/5/14,2,Some college,1,Male,Ball,Ball,Toys,Dada,Toy,No one,11,10,English,English
10/5/14,2,College,1,Male,Ball,Ball,Toys,Dada,Toy,Mom and dad,6,1,English,English
10/5/14,3,College,1,Male,Ball,Ball,Toys,Mama,Toy,NA,4,18,English,English
10/5/14,2,College,1,Male,Ball,Ball,Toys,Mama,Toy,N/A,9,11,English,English
10/5/14,1,College,1,Male,Ball,Ball,Toys,Check,Toy,Mom,11,3,English,English
10/5/14,4,Graduate degree,3,Male,Ball,Ball,Toys,Mama,Toy,No one,12,1,English,English
10/5/14,4,Graduate degree,4,Female,Ball,Ball,Toys,Mama,Toy,No one,12,1,English,English
10/5/14,2,Graduate degree,1,Male,Ball,Ball,Toys,Mama,Toy,Usual mom or dad,12,7,English,English
10/5/14,4,Some college,1,Male,Ball,Ball,Toys,Dada,Toy,n/a,9,18,English,English
10/6/14,1,College,1,Male,Ball,Ball,Toys,Check,Toy,na,6,18,English,English
10/6/14,2,Some college,1,Female,Ball,Ball,Toys,Mama,Toy,Mother,12,12,English,English
10/6/14,3,College,2,Female,Ball,Ball,Toys,Check,Toy,Mom,10,6,English,English
10/6/14,1,Some high school,1,Male,Ball,Ball,Toys,Check,Toy,father,14,7,English,English
10/6/14,2,College,1,Female,Ball,Ball,Toys,Dada,Toy,Me his mother,15,6,English,English
10/6/14,2,College,2,Male,Ball,Ball,Toys,Check,Toy,mom,9,5,English,English
10/7/14,2,Some college,1,Male,Ball,Ball,Toys,Mama,Toy,mom,8,8,English,English
10/7/14,3,College,1,Male,Ball,Ball,Toys,Check,Toy,Dad,11,8,English,English
10/7/14,3,Graduate degree,3,Male,Ball,Ball,Toys,Check,Toy,The Ball,19,4,English,English
10/7/14,2,Some college,10,Male,Ball,Ball,Toys,Check,Toy,N/A,6,11,English,English
10/8/14,1,College,1,Male,Ball,Ball,Toys,Check,Toy,mom dad and uncle,7,11,English,English
10/8/14,1,College,1,Female,Ball,Ball,Toys,Dada,Toy,to the toy itself,8,16,English,English
10/8/14,2,College,1,Male,Ball,Ball,Toys,Mama,Toy,to mom and dad,9,6,English,English
10/9/14,1,College,1,Male,Ball,Ball,Toys,Mama,Toy,himself,13,15,English,English
10/9/14,3,Some college,1,Male,Ball,Ball,Toys,Dada,Toy,nobody,12,14,English,English
10/10/14,1,College,1,Female,Ball,Ball,Toys,Check,Toy,mom,11,4,Turkish,Turkish
10/10/14,2,High school,1,Female,Ball,Ball,Toys,Check,Toy,Mom,7,17,English,English
10/10/14,3,College,1,Male,Ball,Ball,Toys,Mama,Toy,grandpa,9,15,English,English
10/10/14,4,High school,1,Male,Ball,Ball,Toys,Check,Toy,mom,6,11,English,English
10/11/14,3,College,1,Male,Ball,Ball,Toys,Mama,Toy,dad,9,13,English,English
10/12/14,4,High school,2,Male,Ball,Ball,Toys,Mama,Toy,Mom,13,12,English,English
10/12/14,4,High school,4,Female,Ball,Ball,Toys,Mama,Toy,Mom,9,0,English,English
10/12/14,7,College,1,Female,Ball,Ball,Toys,Check,Toy,mother,10,18,English,English
10/12/14,7,College,5,Female,Ball,Ball,Toys,Mama,Toy,mother,12,12,English,English
10/12/14,3,College,2,Female,Ball,Ball,Toys,Dada,Toy,Herself,10,2,English,English
10/13/14,3,Some college,1,Male,Ball,Ball,Toys,Dada,Toy,dad,11,6,English,English
10/13/14,2,College,1,Female,Ball,Ball,Toys,Check,Toy,Dad,10,4,English,English
10/13/14,1,College,1,Female,Ball,Ball,Toys,Check,Toy,NA,10,1,English,English
10/13/14,2,Some college,2,Male,Ball,Ball,Toys,Dada,Toy,to the mother,7,4,English,English
10/13/14,2,Graduate degree,1,Female,Ball,Ball,Toys,Dada,Other object,no one,11,3,English,English
10/13/14,2,High school,2,Female,Ball,Ball,Toys,Mama,Toy,Mamma,13,7,English,English
10/14/14,1,College,1,Male,Ball,Ball,Toys,Mama,Toy,Dad,12,3,English,English
10/15/14,1,Some college,1,Female,Ball,Ball,Toys,Check,Toy,Dad,10,2,English,English
10/15/14,3,College,2,Female,Ball,Ball,Toys,Mama,Toy,me,11,8,English,English
10/16/14,2,College,2,Female,Ball,Ball,Toys,Mama,Toy,mama,11,3,English,English
9/28/14,2,Some college,1,Male,Balloon,Balloon,Toys,Dada,Other object,to the object,8,4,English,English
10/6/14,3,Graduate degree,2,Male,Balloon,Balloon,Toys,Check,Toy,Mom,12,5,English,English
10/8/14,3,High school,3,Female,Balloon,Balloon,Toys,Check,Toy,N/A,13,3,English,English
10/9/14,3,High school,1,Male,Balloon,Balloon,Toys,Check,Toy,Mom,12,18,English,English
10/9/14,3,High school,2,Male,Balloon,Balloon,Toys,Check,Toy,Mom,10,18,English,English
9/22/14,2,College,1,Female,Banana,Banana,Food and Drink,Mama,Food and Drink,Parent,10,18,English,English
9/22/14,2,College,1,Male,Banana,Banana,Food and Drink,Dada,Food and Drink,mom,15,10,English,English
9/22/14,2,College,1,Male,Banana,Banana,Food and Drink,Dada,Food and Drink,mom,15,10,English,English
9/22/14,1,College,1,Male,Banana,Banana,Food and Drink,Check,Food and Drink,no one in particular just heard our son speak it in his crib,12,1,English,English
9/22/14,3,High school,1,Female,Nana,Banana,Food and Drink,Dada,Food and Drink,No one,10,4,English,English
9/23/14,2,College,2,Male,Nana,Banana,Food and Drink,Mama,Food and Drink,mom,20,18,English,English
9/23/14,1,Some college,1,Male,Nana,Banana,Food and Drink,Check,Food and Drink,Myself (Mother),10,1,English,English
9/24/14,1,Some college,1,Male,Nana,Banana,Food and Drink,Mama,Food and Drink,Parents,11,1,English,English
9/24/14,1,College,1,Female,Banana,Banana,Food and Drink,Mama,Food and Drink,My wife,7,1,English,English
9/24/14,2,College,1,Female,Nana,Banana,Food and Drink,Dada,Food and Drink,Dad,10,9,English,English
9/29/14,1,High school,1,Female,Nana,Banana,Food and Drink,Dada,Food and Drink,dad,7,2,English,English
10/2/14,2,Some college,2,Male,Ba,Banana,Food and Drink,Dada,Food and Drink,mother,8,12,English,English
10/7/14,1,College,1,Female,Banana,Banana,Food and Drink,Mama,Food and Drink,myself ,11,4,English,English
10/12/14,4,High school,1,Female,Banana,Banana,Food and Drink,Dada,Food and Drink,N/A,12,14,English,English
10/16/14,1,Some college,1,Female,Banana,Banana,Food and Drink,Mama,Person,Mother ,7,1,English,English
10/3/14,2,High school,1,Female,Bandit,Bandit,Animals,Dada,Animal,dog,14,10,English,English
9/24/14,1,College,1,Female,Bang,Bang,Sound Effects,Check,Toy,Me,22,5,English,English
9/22/14,3,Some college,3,Male,BangBang,Bang,Sound Effects,Check,Games or Routines,His Brothers,11,1,English,English
9/30/14,4,College,1,Male,Barney,Barney,Animals,Check,Animal,No one,12,1,English,English
10/8/14,3,High school,1,Female,Bastard,Bastard,N/A,Check,Person,N/A,14,12,English,English
9/24/14,2,College,2,Female,Bates,Bates,Animals,Dada,Animal,mom and dad,10,1,English,English
10/4/14,2,Graduate degree,1,Female,Bath,Bath,Games and Routines,Mama,Games or Routines,N/A,17,3,English,English
10/10/14,3,College,3,Male,Baba,Bath,Games and Routines,Mama,Games or Routines,Mom,7,11,English,English
9/24/14,1,College,1,Male,Bathroom,Bathroom,Furniture and Rooms,Dada,Place,dad,8,9,English,English
10/11/14,2,High school,2,Female,Batman,Batman,People,Check,Sound Effects,mom & dad,9,18,English,English
10/15/14,2,College,1,Female,Bay,Bay,People,Dada,Person,her grandmother,4,18,English,English
9/23/14,1,Some college,1,Female,Bear,Bear,Animals,Mama,Toy,Mom,10,14,English,English
9/30/14,1,College,1,Female,Beya,Bear,Animals,Mama,Animal,Bears,14,2,English,English
9/30/14,1,Some college,1,Female,Bear,Bear,Animals,Dada,Animal,Bears,13,2,English,English
9/30/14,1,College,1,Female,Bear,Bear,Animals,Check,Animal,Bear from Bear in the Big Blue House,10,10,English,English
10/12/14,1,Graduate degree,1,Male,Bear,Bear,Animals,Dada,Person,His father,7,3,English,English
10/11/14,1,Some graduate school,1,Male,Bebe,Bebe,N/A,Mama,Other object,the parent closest to him at the time,8,2,Mandarin,Mandarin
10/12/14,2,High school,1,Male,Bebe,Bebe,People,Check,Person,myself (the mommy),7,4,English,Spanish
9/24/14,1,College,1,Female,Bed,Bed,Furniture and Rooms,Check,Place,Me,12,5,English,English
9/27/14,3,High school,3,Male,Bee,Bee,Animals,Check,Other object,None,12,3,English,English
10/14/14,2,Some college,2,Female,Bee,Bee,Animals,Mama,Other object,Mother,8,6,English,English
9/24/14,1,Some college,1,Female,Beer,Beer,Food and Drink,Dada,Food and Drink,Her great-grandmother,NA,11,English,English
9/29/14,5,Some college,4,Female,Bekah,Bekah,People,Mama,Person,sister,8,11,English,English
10/1/14,3,High school,1,Male,Bike,Bike,Toys,Mama,Vehicles,Grandpa,12,18,English,English
10/13/14,3,Some college,2,Male,Bink,Binky,Toys,Dada,Other object,to mom,12,3,English,English
10/3/14,2,Some graduate school,1,Male,Binky,Binky,Toys,Dada,Other object,mommy and daddy,11,4,English,English
10/4/14,2,College,2,Male,Bink,Binky,Toys,Mama,Other object,mom,5,11,English,English
9/23/14,1,College,1,Male,Bird,Bird,Animals,Mama,Animal,anyone,8,5,English,English
9/24/14,1,College,1,Female,Birdy,Bird,Animals,Check,Animal,our parrot,NA,3,English,English
10/1/14,2,Some college,1,Female,Bird,Bird,Animals,Check,Animal,to herself,10,12,English,English
10/4/14,4,Some college,2,Male,Bird,Bird,Animals,Dada,Animal,mom,8,18,English,English
10/9/14,2,Some college,1,Female,Bird,Bird,Animals,Check,Animal,a bird,12,9,English,English
10/11/14,1,College,1,Female,Bird,Bird,Animals,Mama,Animal,A bird,11,2,English,English
10/13/14,2,College,2,Female,Bird,Bird,Animals,Check,Animal,mother,10,18,English,English
9/24/14,3,Some college,1,Female,Bitch,Bitch,N/A,Mama,Person,My mother,18,18,English,English
9/22/14,4,High school,2,Female,Bite,Bite,Action,Dada,Food and Drink,mommy,4,18,English,English
9/23/14,2,Some college,1,Male,Bite,Bite,Action,Dada,Food and Drink,mother,20,3,English,English
9/24/14,2,Some college,2,Female,Bite,Bite,Action,Check,Action Word,Everyone,7,1,English,English
10/9/14,1,Some college,1,Female,Bite,Bite,Action,Mama,Food and Drink,Mother,7,16,English,English
10/9/14,3,Some college,2,Female,Bite,Bite,Action,Dada,Food and Drink,parents,12,12,English,English
10/5/14,4,Graduate degree,4,Male,Bites,Bite,Action,Check,Food and Drink,Mother,9,8,English,English
10/4/14,4,Some college,2,Male,Bj,Bj,People,Check,Person,his older brother,7,18,English,English
10/4/14,4,Some college,3,Female,Bj,Bj,People,Check,Person,her oldest brother,6,18,English,English
9/24/14,1,Some college,1,Male,Blanket,Blanket,Small Household Objects,Mama,Toy,dad,12,3,English,English
10/12/14,3,High school,1,Male,Blankie,Blanket,Small Household Objects,Dada,Other object,Nobody,12,18,English,English
10/15/14,2,College,2,Male,Block,Block,Toys,Check,Games or Routines,mother and father,12,4,English,English
9/23/14,2,Some college,1,Male,Blue,Blue,Descriptive,Mama,Animal,It was said to me but meant for our dog,7,18,English,English
9/23/14,2,High school,1,Female,Blue,Blue,Descriptive,Mama,Person,mother,7,4,English,Mandarin
9/24/14,2,Some college,2,Female,Boo,Blue,Descriptive,Dada,Toy,No one in particular.,NA,8,English,English
9/29/14,4,High school,1,Male,Blue,Blue,Descriptive,Mama,Other object,TV,13,14,English,English
10/5/14,3,High school,3,Male,Blue,Blue,Descriptive,Mama,Toy,Blue car,6,5,English,English
10/12/14,1,Some college,1,Male,Blue,Blue,Descriptive,Dada,Other object,Mother,8,2,English,English
9/24/14,2,College,1,Female,Bob,Bob,People,Check,Food and Drink,any adult,6,18,English,English
10/14/14,3,Graduate degree,2,Male,Bob,Bob,People,Check,Person,the television,10,18,English,Spanish
10/1/14,2,Some college,1,Female,BoBo,BoBo,Animals,Check,Animal,The dog,9,16,English,English
10/4/14,4,Some college,1,Male,Bones,Bones,Animals,Dada,Animal,the dog,10,18,English,English
9/24/14,5,High school,4,Male,Boo,Boo,Sound Effects,Mama,Sound Effects,anyone around,6,18,English,English
9/24/14,1,Some college,1,Male,Boo,Boo,Sound Effects,Check,Animal,our dog,17,5,English,English
9/24/14,2,Some college,2,Male,Boo,Boo,Sound Effects,Mama,Games or Routines,Mom,6,15,English,English
9/27/14,1,College,1,Female,Boo,Boo,Sound Effects,Dada,Person,Dad,9,18,English,English
10/3/14,4,High school,2,Male,Boo,Boo,Sound Effects,Mama,Games or Routines,sister,12,10,English,English
10/3/14,1,College,1,Female,BooBoo,Boo Boo,Sound Effects,Mama,Action Word,me,13,4,English,English
10/5/14,3,High school,2,Female,Boo-Boo,Boo Boo,Sound Effects,Dada,Person,Father,11,13,English,English
10/5/14,2,High school,1,Male,BooBoo,Boo Boo,Sound Effects,Mama,Toy,N/A,10,3,English,English
9/22/14,3,High school,3,Female,Boobie,Boob,Body Parts,Check,Other object,mom,17,10,English,English
9/24/14,2,Some college,2,Female,Boobie,Boob,Body Parts,Dada,Person,her daddy,6,2,English,English
9/24/14,2,Graduate degree,2,Female,Boobs,Boob,Body Parts,Check,Other object,breastmilk,11,3,English,English
