,first_wd_original,first_wd_standard,cdi_cat
223,Haha,Haha,Sound Effects
224,Happy,Happy,Descriptive
225,Hat,Hat,Clothing
226,Oye,Hear,Action
227,Heego,Heego,N/A
228,Hello,Hello,Games and Routines
229,Help,Help,Action
230,Here,Here,Prepositions and Locations
231,Heron,Heron,Animal
232,Heyyy,Hey,Games and Routines
233,Hi,Hi,Games and Routines
234,Home,Home,Places
235,Horsey,Horse,Animal
236,Hot,Hot,Descriptive
237,House,House,Places
238,Hug,Hug,Action
239,Hungry,Hungry,Descriptive
240,I Getcha,I Getcha,Phrase
241,I Love You,I Love You,Games and Routines
242,Ipad,Ipad,Small Household Objects
243,Isla,Isla,People
244,Issy,Issy,People
245,It,It,Pronouns
246,Itu Tu,Itu Tu,N/A
247,Ivy,Ivy,Outside Things
248,Ja,Ja,N/A
249,Jayjay,Jayjay,Animal
250,Jet,Jet,Vehicles
251,Jim,Jim,People
252,Jon,Jon,People
253,Juice,Juice,Food and Drink
254,K,K,N/A
255,Kadi,Kadi,Animal
256,Kai,Kai,People
257,Kat,Kat,People
258,Key,Key,Small Household Objects
259,Kiki,Kiki,People
260,Kissy,Kissy,Games and Routines
261,Kitten,Kitty,Animal
262,Kotj,Kotj,N/A
263,Kuta,Kuta,N/A
264,Lady,Lady,People
265,Lake,Lake,Places
266,bape,Lamp,Small Household Object
267,Layla,Layla,People
268,Leah,Leah,People
269,Lex,Lex,People
270,Lexis,Lexis,People
271,del,Lid,Small Household Object
272,Light,Light,Outside Things
273,Lion,Lion,Animal
274,Look,Look,Action
275,Louie,Louie,People
276,Love,Love,Action
277,Love You,Love You,Phrase
278,Lovey,Lovey,Toy
279,Lucy,Lucy,People
280,Ma,Ma,N/A
281,Maka,Maka,People
282,Mama,Mama,People
283,Malook,Mama Look,Phrase
284,Mamas,Mamas,People
285,Man Man,Man Man,People
286,Manda,Manda,People
287,Map,Map,Small Household Objects
288,Marcie,Marcie,Animal
289,Matt,Matt,People
290,Max,Max,Animal
291,Me,Me,Pronouns
292,Meme,Meme,N/A
293,Meow,Meow,Sound Effect
294,Mickey,Mickey,Toy
295,Miko,Miko,N/A
296,Leche,Milk,Food and Drink
297,Mimi,Mimi,N/A
298,Mine,Mine,Pronouns
299,Monhey,Monkey,Animal
300,Moo,Moo,Sound Effects
301,Moocow,Moocow,Sound Effects
302,Mooon,Moon,Outside Things
303,Moosie,Moose,Animal
304,Mas,More,Action
305,Mas Agua,More Water,Phrase
306,Mouse,Mouse,Animal
307,Mum Mum,Mum Mum,N/A
308,Mum-Mum,Mum-Mum,N/A
309,Mummam,Mummam,N/A
310,None,N/A,N/A
311,Na,Na,People
312,Nae Nae,Nae Nae,People
313,Nah-Nah,Nah-Nah,N/A
314,Nahana,Nahana,N/A
315,Nai-Nai,Nai-Nai,N/A
316,Nana,Nana,N/A
317,Nanny,Nanny,People
318,Net,Net,People
319,Nicholas,Nicholas,People
320,NighNigh,Nigh Nigh,N/A
321,Nitnit,Night,Games and Routines
322,Ninny,Ninny,N/A
323,Nissa,Nissa,People
324,No,No,Games and Routines
325,NoThis,No This,Phrase
326,Noise,Noise,N/A
327,Nose,Nose,Body Part
328,Num Num,Num Num,Food and Drink
329,Ohh,Oh,Games and Routines
330,Oh Cool,Oh Cool,Phrase
331,Oh No,Oh No,Games and Routines
332,Oh Wow,Oh Wow,Phrase
333,Ok,Ok,Games and Routines
334,Okay,Okay,Games and Routines
335,Oli,Oli,Animal
336,Open Close,Open Close,Phrase
337,Otto,Otto,N/A
338,Ouch,Ouch,Sound Effect
339,Outside,Outside,Outside Things
340,Over There,Over There,Prepositions and Locations
341,Owl,Owl,Animal
342,Paceboo,Pacifier,Toy
343,Pam,Pam,People
344,Pan,Pan,Small Household Objects
345,Pap,Pap,N/A
346,Park,Park,Outside Things
347,Pata,Pata,N/A
348,Patiti,Patiti,People
349,Patrick,Patrick,People
350,Pee,Pee,N/A
351,Peek,Peek,Games and Routines
352,Pickle,Pickle,Food and Drink
353,Picture,Picture,Small Household Objects
354,pee,Pink,Food and Drink
355,Pitu,Pitu,N/A
356,Pizza,Pizza,Food and Drink
357,Plane,Plane,Vehicles
358,Patapus,Platypus,Animal
359,Play,Play,Action
360,Please,Please,Games and Routines
361,Poe-Poe,Poe-Poe,N/A
362,Pooh,Pooh,Toy
363,Poop,Poop,Action
364,Pop,Pop,Food and Drink
365,Pot,Pot,Small Household Objects
366,Potato,Potato,Food and Drink
367,Pretty Lights,Pretty Lights,Phrase
368,Princess,Princess,Animal
369,Pupa,Puppy,Animal
370,Purple,Purple,Descriptive
371,Quack,Quack,Sound Effect
372,Quark,Quark,Sound Effects
373,Raj,Raj,People
374,Rice,Rice,Food and Drink
375,Ride,Ride,Action
376,Rock,Rock,Outside Things
377,Rudy,Rudy,Animal
378,Ruff Ruff,Ruff Ruff,Sound Effects
379,Sam,Sam,People
380,Same,Same,Quantifiers and Articles
381,Sand,Sand,Outside Things
382,Arah,Sarah,People
383,Salchicha,Sausage,Food and Drink
384,Sean,Sean,People
385,Sega,Sega,N/A
386,Shit,Shit,N/A
387,Shoe,Shoe,Clothing
388,Side,Side,Action
389,Sissy,Sister,People
390,Sit,Sit,Action
391,Sit Down,Sit Down,Action
392,Sky,Sky,Outside Things
393,Slinky Dog,Slinky Dog,Animal
394,Sock,Sock,Clothing
395,Some,Some,Quantifiers and Articles
396,Soul,Soul,N/A
397,Spaceship,Spaceship,Toy
398,Spoon,Spoon,Small Household Objects
399,Star,Star,Outside Things
400,Stop,Stop,Action
401,Sunny,Sunny,Descriptive
402,Sushi,Sushi,Food and Drink
403,Sweet Carrot,Sweet Carrot,Phrase
404,Swing,Swing,Action
405,Swiper,Swiper,Animal
406,Ta,Ta,N/A
407,Taco,Taco,Food and Drink
408,Tanlk,Tanlk,N/A
409,Tata,Tata,N/A
410,Teepee,Teepee,Places
411,Teta,Teta,N/A
412,Tha Tha,Tha Tha,N/A
413,Thank You,Thank You,Games and Routines
414,That,That,Pronouns
415,The Pet Cat's Name,The Pet Cat's Name,Animal
416,There,There,Prepositions and Locations
417,Think,Think,Action
418,This,This,Pronouns
419,Tickle,Tickle,Action
420,Tiens,Tiens,N/A
421,Tiger,Tiger,Animal
422,Titi,Titi,N/A
423,Titus,Titus,Animal
424,To,To,Prepositions and Locations
425,Tom,Tom,Animal
426,Touch,Touch,Action
427,Touchdown,Touchdown,Action
428,Toup,Toup,N/A
429,Toy,Toy,Toy
430,Toyota,Toyota,Vehicles
431,Tractor,Tractor,Vehicles
432,Train,Train,Vehicles
433,Tree,Tree,Outside Things
434,Truck,Truck,Vehicles
435,Tuh-Tuh,Tucker,People
436,Turtle,Turtle,Animal
437,Tv,Tv,Small Household Objects
438,Uh-Oh,Uh-Oh,Games and Routines
439,Unca,Uncle,People
440,Up,Up,Action
441,Vacuum,Vacuum,Small Household Objects
442,Vroom,Vroom,Sound Effect
443,Want,Want,Action
444,Agua,Water,Food and Drink
445,Weewee,Weewee,Action
446,What,What,Question Words
447,Whassat?,What's That,Phrase
448,Whoas,Whoa,Sound Effects
449,Woah,Whoah,Sound Effects
450,Woof,Woof,Sound Effect
451,Wow,Wow,Games and Routines
452,Yai,Yai,N/A
453,Yaya,Yaya,N/A
454,Yeah,Yeah,Games and Routines
455,Yellow,Yellow,Descriptive
456,Yes,Yes,Games and Routines
457,Yia-Yia,Yia-Yia,N/A
458,Yogi,Yogi,Toy
459,Yogo,Yogurt,Food and Drink
460,You,You,Pronouns
461,Yuck,Yuck,Sound Effect
462,Yum,Yum,Sound Effect
463,Zeesus,Zebra,Animal
464,Ziva,Ziva,People
